year,Location,city,lat,lon,sowing,harvesting
2018,ARH1,Marianna,34.728337,-90.759734,2018-04-25,2018-09-01
2018,ARH2,Keiser,35.67486,-90.076613,2018-04-19,2018-09-23
2018,DEH1,Georgetown ,38.649238,-75.450214,2018-05-02,2018-09-20
2018,GAH1,Tifton,31.505203,-83.555172,2018-04-03,2018-08-30
2018,GAH2,Watkinsville,33.714777,-83.30889,2018-05-01,2018-09-12
2018,IAH1,Crawfordsville,41.198704,-91.486184,2018-05-08,2018-10-18
2018,IAH2,Carroll,42.06593,-94.727418,2018-04-29,2018-10-23
2018,IAH3,Keystone,41.98745,-92.260145,2018-04-30,2018-10-15
2018,IAH4,Ames,41.997745,-93.696248,2018-05-15,2018-10-26
2018,ILH1,Champaign,40.063415,-88.230049,2018-05-08,2018-09-24
2018,INH1,West Lafayette,40.479279,-86.990142,2018-05-07,2018-09-19
2018,KSH1,Garden City,37.809834,-100.770272,2018-05-07,2018-10-06
2018,MIH1,East Lansing,42.688469,-84.497319,2018-05-28,2018-11-18
2018,MNH1,Waseca,43.07471,-89.384397,2018-05-24,2018-11-14
2018,MOH1,Columbia,38.897217,-92.20935,2018-05-17,2018-09-26
2018,NCH1,Clayton,35.666544,-78.492166,2018-05-08,2018-09-25
2018,NEH2,Near Wahoo,41.379819,-96.560109,2018-05-08,2018-09-27
2018,NYH1,Aurora,42.729068,-76.651402,2018-05-25,2018-11-12
2018,NYH2,Aurora,42.72538,-76.65642,2018-05-18,2018-12-11
2018,NYH3,Aurora,42.72532,-76.65507,2018-05-18,2018-12-11
2018,OHH1,South Charleston,39.856553,-83.670296,2018-05-15,2018-10-09
2018,ONH2,Ridgetown,42.452802,-81.883487,2018-05-31,2018-11-14
2018,SCH1,Clemson,34.622457,-82.736821,2018-04-20,2018-09-15
2018,TXH1,College Station,30.545296,-96.431858,2018-03-08,2018-08-16
2018,TXH2,College Station,30.545296,-96.431858,2018-05-08,2018-09-25
2018,WIH1,Madison,43.0557,-89.5313,2018-05-08,2018-10-19
2018,WIH2,Madison,43.302,-89.3861,2018-05-19,2018-10-19
2019,COH1,Fort Collins,40.653062,-104.99303,2019-06-10,2019-11-07
2019,DEH1,Georgetown,38.6712,-75.4331,2019-05-09,2019-09-12
2019,GAH1,Tifton,31.505203,-83.555172,2019-03-28,2019-08-15
2019,GAH2,Watkinsville,33.72056059,-83.30774042,2019-04-12,2019-09-05
2019,GEH1,Gottingen,51.502178,9.936774,2019-05-14,2019-11-20
2019,IAH1,Crawfordsville,41.198704,-91.486184,2019-06-06,2019-11-05
2019,IAH2,Carroll,42.06593,-94.727418,2019-04-26,2019-10-26
2019,IAH3,Keystone,41.98745,-92.260145,2019-05-06,2019-10-27
2019,IAH4,Ames,41.997745,-93.696248,2019-06-03,2019-10-17
2019,ILH1,Champaign,40.058299,-88.229683,2019-05-21,2019-10-18
2019,INH1,West Lafayette,40.477486,-86.99984,2019-06-05,2019-10-11
2019,MIH1,East Lansing,42.707603,-84.46977,2019-05-27,2019-11-17
2019,MNH1,Waseca,44.06684388,-93.52391105,2019-06-03,2019-11-19
2019,MOH1,Columbia,38.89492,-92.20878,2019-05-16,2019-10-08
2019,NCH1,Clayton,35.668804,-78.51129,2019-05-13,2019-10-07
2019,NEH2,Lincoln,40.8604,-96.6159,2019-05-17,2019-11-13
2019,NYH1,Aurora,42.728569,-76.65158,2019-06-03,2019-12-12
2019,NYH2,Aurora,42.731548,-76.652105,2019-05-23,2019-12-11
2019,NYH3,Aurora,42.732845,-76.654107,2019-05-23,2019-12-12
2019,OHH1,South Charleston,39.856512,-83.670306,2019-06-07,2019-10-15
2019,ONH2,Ridgetown,42.452094,-81.8826,2019-06-19,2019-11-20
2019,SCH1,Pendleton,34.62263,-82.737966,2019-05-02,2019-09-05
2019,TXH1,College Station,30.545296,-96.431858,2019-03-20,2019-08-23
2019,TXH4,Lubbock,43.07471,-89.384397,2019-05-02,2019-09-18
2019,WIH1,Madison,43.056965,-89.530937,2019-05-12,2019-10-27
2019,WIH2,Arlington,43.3189,-89.3885,2019-06-03,2019-11-22