"year_loc","year","location","lat","lon","cluster","sowing","silking","anthesis","harvesting","yield","gdd_silk","plant_density"
"2014-IAH2",2014,"IAH2",41.997,-93.696,"b",2014-05-17,2014-07-23,2014-07-21,2014-10-21,10317.6490219608,778,9.11774117647059
"2014-IAH3",2014,"IAH3",42.066,-94.728,"b",2014-05-17,2014-07-26,2014-07-25,2014-10-20,10301.5259908636,778,9.11774117647059
"2014-IAH4",2014,"IAH4",41.987,-92.26,"b",2014-05-09,2014-07-15,2014-07-13,2014-10-20,10386.1560901921,778,9.11774117647059
"2014-ILH1",2014,"ILH1",40.061135,-88.233184,"b",2014-05-06,2014-07-12,2014-07-10,2014-10-03,11310.1818874922,778,8.63175773871857
"2014-INH1",2014,"INH1",40.488,-87.006,"b",2014-05-25,2014-08-18,2014-08-16,2014-11-18,10356.9542692053,778,8.11913142857143
"2014-MNH1",2014,"MNH1",44.06971707,-93.53409096,"a",2014-05-16,2014-07-29,2014-07-27,2014-10-16,7202.07399429962,722,3.91418181818182
"2014-MOH2",2014,"MOH2",38.928745,-92.352163,"c",2014-05-05,2014-07-05,2014-07-04,2014-11-13,8808.10797726434,789,7.38705882352941
"2014-NEH1",2014,"NEH1",40.834392,-96.656687,"b",2014-05-16,2014-07-16,2014-07-14,2014-10-22,6469.52254482247,778,9.34930285714286
"2014-NEH2",2014,"NEH2",41.052978,-100.749467,"b",2014-05-15,2014-07-30,2014-07-27,2014-11-05,5866.2119301861,778,2.46034285714286
"2014-NYH2",2014,"NYH2",42.73,-76.65,"a",2014-05-27,2014-08-05,2014-08-05,2014-11-28,9368.64300214243,722,10.1308235294118
"2014-WIH1",2014,"WIH1",43.05706111,-89.53098611,"a",2014-05-09,2014-07-25,2014-07-25,2014-10-28,11137.6919630792,722,8.01041860465116
"2015-ILH1",2015,"ILH1",40.059,-88.234,"b",2015-04-30,2015-07-06,2015-07-05,2015-10-02,9485.48646885604,778,8.63175773871857
"2015-INH1",2015,"INH1",40.477,-87,"b",2015-05-14,2015-07-20,2015-07-19,2015-10-14,8987.40978890311,778,8.11913142857143
"2015-KSH1",2015,"KSH1",39.217,-96.606,"c",2015-04-23,2015-07-16,2015-07-14,2015-09-21,4650.46661632099,789,3.01392
"2015-MNH1",2015,"MNH1",44.071,-93.536,"a",2015-05-19,2015-07-31,2015-07-29,2015-11-10,9709.88083444647,722,3.91418181818182
"2015-MOH1",2015,"MOH1",38.896,-92.208,"c",2015-05-04,2015-07-17,2015-07-16,2015-10-05,4581.38664270461,789,7.38705882352941
"2015-MOH2",2015,"MOH2",38.896,-92.208,"c",2015-05-05,2015-07-16,2015-07-15,2015-10-02,7141.49026510076,789,7.38705882352941
"2015-NEH2",2015,"NEH2",41.051,-100.746,"b",2015-04-23,2015-07-25,2015-07-24,2015-10-26,7317.36107343445,778,2.44898706225781
"2015-NEH3",2015,"NEH3",41.158,-101.988,"a",2015-06-10,2015-08-11,2015-08-10,2015-12-14,7295.23171670542,722,2.39086466560371
"2015-NYH3",2015,"NYH3",42.724,-76.656,"a",2015-05-23,2015-08-04,2015-08-04,2015-11-17,7950.3697459603,722,9.84137142857143
"2015-OHH1",2015,"OHH1",39.855,-83.665,"b",2015-05-21,2015-07-22,2015-07-22,2015-10-17,9705.19786899889,778,4.20992
"2015-SDH1",2015,"SDH1",44.209,-102.93,"a",2015-05-22,2015-07-29,2015-07-28,2015-10-28,5123.7112422289,722,8.63175773871857
"2016-DEH1",2016,"DEH1",38.648,-75.452,"c",2016-04-25,2016-07-10,2016-07-10,2016-09-14,9812.50290084733,789,10.71400132714
"2016-GAH2",2016,"GAH2",33.717,-83.311,"c",2016-05-25,2016-07-17,2016-07-16,2016-10-10,4206.9558895029,789,9.78545454545454
"2016-IAH2",2016,"IAH2",42.066,-94.727,"b",2016-04-25,2016-07-12,2016-07-10,2016-10-11,8725.28793216299,778,10.2104228571429
"2016-IAH3",2016,"IAH3",41.987,-92.26,"b",2016-04-24,2016-07-15,2016-07-12,2016-10-06,10255.1822198407,778,10.2104228571429
"2016-IAH4",2016,"IAH4",41.998,-93.7,"b",2016-04-26,2016-07-13,2016-07-11,2016-10-17,9495.36928485995,778,10.2104228571429
"2016-ILH1",2016,"ILH1",40.061,-88.234,"b",2016-04-29,2016-07-12,2016-07-10,2016-10-09,9956.4317730861,778,10.5976416714367
"2016-INH1",2016,"INH1",40.479,-88.99,"b",2016-05-19,2016-07-20,2016-07-19,2016-10-05,7816.12624921921,778,9.84137142857143
"2016-KSH1",2016,"KSH1",39.144,-96.629,"c",2016-04-15,2016-07-12,2016-07-12,2016-09-27,6380.94486817594,789,6.02784
"2016-MIH1",2016,"MIH1",42.69,-84.498,"a",2016-05-24,2016-07-23,2016-07-22,2016-11-16,8981.25068885679,722,9.78545454545454
"2016-MNH1",2016,"MNH1",44.067,-93.533,"a",2016-05-17,2016-07-25,2016-07-23,2016-10-18,9635.25577966937,722,7.82836363636364
"2016-NEH1",2016,"NEH1",41.159,-96.415,"b",2016-05-06,2016-06-30,2016-06-29,2016-11-08,6840.33760167556,778,9.0896
"2016-NEH4",2016,"NEH4",41.159,-96.415,"a",2016-06-07,2016-08-01,2016-08-01,2016-11-09,7668.13997816628,722,9.0896
"2016-NYH1",2016,"NYH1",42.72543,-76.6551,"a",2016-05-19,2016-07-26,2016-07-24,2016-11-13,7156.25413203154,722,9.568
"2016-NYH2",2016,"NYH2",42.72543,-76.6551,"a",2016-05-10,2016-07-21,2016-07-18,2016-11-21,5420.73890227763,722,9.84137142857143
"2016-WIH1",2016,"WIH1",43.056,-89.532,"a",2016-05-09,2016-07-18,2016-07-18,2016-10-14,9720.33495177314,722,7.82836363636364
"2016-WIH2",2016,"WIH2",43.326,-89.34,"a",2016-05-24,2016-07-24,2016-07-24,2016-10-25,8805.69726852013,722,7.82836363636364
"2017-COH1",2017,"COH1",40.649,-105,"b",2017-05-31,2017-08-09,2017-08-08,2017-11-21,6602.96701103825,778,11.4816
"2017-DEH1",2017,"DEH1",38.671,-75.433,"c",2017-04-28,2017-07-04,2017-07-04,2017-09-07,10847.6249629234,789,10.4708171206226
"2017-GAH1",2017,"GAH1",31.507,-83.558,"c",2017-04-04,2017-06-04,2017-06-03,2017-09-06,7965.8130327044,789,9.22628571428571
"2017-GAH2",2017,"GAH2",33.727,-83.299,"c",2017-05-02,2017-06-26,2017-06-26,2017-09-08,8113.79769234973,789,5.382
"2017-IAH4",2017,"IAH4",41.994,-93.688,"b",2017-05-07,2017-07-16,2017-07-14,2017-10-16,11629.4198763676,778,10.2104228571429
"2017-ILH1",2017,"ILH1",40.061,-88.234,"b",2017-04-26,2017-07-12,2017-07-10,2017-10-12,11054.3503671053,778,10.5976416714367
"2017-INH1",2017,"INH1",40.479,-88.99,"b",2017-05-16,2017-07-16,2017-07-15,2017-10-19,12112.7664684814,778,9.84137142857143
"2017-MIH1",2017,"MIH1",42.682,-84.494,"a",2017-05-22,2017-07-23,2017-07-23,2017-10-20,9995.64511763158,722,9.568
"2017-MNH1",2017,"MNH1",43.075,-89.384,"a",2017-05-10,2017-07-23,2017-07-22,2017-10-27,9151.81098808989,722,7.82836363636364
"2017-NYH1",2017,"NYH1",42.729,-76.652,"a",2017-05-20,2017-07-31,2017-07-30,2017-11-22,8043.42120644391,722,9.568
"2017-NYH2",2017,"NYH2",42.733,-76.652,"a",2017-05-18,2017-07-27,2017-07-27,2017-11-24,10772.423855335,722,9.84137142857143
"2017-NYH3",2017,"NYH3",42.733,-76.652,"a",2017-05-18,2017-08-03,2017-08-02,2017-11-24,9653.42090783898,722,9.84137142857143
"2017-WIH1",2017,"WIH1",43.057,-89.531,"a",2017-05-05,2017-07-19,2017-07-19,2017-10-19,12027.6423204631,722,7.82836363636364
"2017-WIH2",2017,"WIH2",43.324,-89.336,"a",2017-05-11,2017-07-25,2017-07-26,2017-11-06,11591.0256636917,722,7.82836363636364
"2018-DEH1",2018,"DEH1",38.649,-75.45,"c",2018-05-02,2018-07-09,2018-07-08,2018-09-20,7517.68012763874,789,11.8669260700389
"2018-IAH2",2018,"IAH2",42.066,-94.727,"b",2018-04-29,2018-07-10,2018-07-08,2018-10-23,12060.8868255696,778,10.8255085714286
"2018-IAH4",2018,"IAH4",41.998,-93.696,"b",2018-05-15,2018-07-15,2018-07-14,2018-10-26,11553.2558677195,778,10.8255085714286
"2018-ILH1",2018,"ILH1",40.063,-88.23,"b",2018-05-08,2018-07-07,2018-07-05,2018-09-24,11933.252693159,778,10.5976416714367
"2018-INH1",2018,"INH1",40.479,-86.99,"b",2018-05-07,2018-07-10,2018-07-08,2018-09-19,11658.7235367677,778,9.84137142857143
"2018-MIH1",2018,"MIH1",42.688,-84.497,"a",2018-05-28,2018-07-28,2018-07-26,2018-11-18,10333.5549987879,722,9.78545454545454
"2018-MNH1",2018,"MNH1",43.075,-89.384,"a",2018-05-24,2018-07-25,2018-07-23,2018-11-10,8348.05336021146,722,7.82836363636364
"2018-MOH1",2018,"MOH1",38.897,-92.209,"c",2018-05-17,2018-07-10,2018-07-09,2018-09-24,8316.72902490066,789,8.86447058823529
"2018-NCH1",2018,"NCH1",35.667,-78.492,"c",2018-05-08,2018-06-30,2018-06-29,2018-09-18,11663.1887634047,789,8.97
"2018-NYH1",2018,"NYH1",42.729,-76.651,"a",2018-05-25,2018-07-26,2018-07-25,2018-11-12,8487.7903338809,722,9.568
"2018-NYH2",2018,"NYH2",42.725,-76.656,"a",2018-05-18,2018-07-24,2018-07-23,2018-12-10,9770.36848453739,722,9.84137142857143
"2018-NYH3",2018,"NYH3",42.725,-76.655,"a",2018-05-18,2018-07-30,2018-07-29,2018-12-11,9556.04147591425,722,9.84137142857143
"2018-OHH1",2018,"OHH1",39.857,-83.67,"b",2018-05-15,2018-07-10,2018-07-11,2018-10-09,11394.3129514,778,10.5248
"2018-SCH1",2018,"SCH1",34.622,-82.737,"c",2018-04-20,2018-06-20,2018-06-22,2018-09-14,6838.35423992016,789,7.93136842105263
"2018-WIH1",2018,"WIH1",43.056,-89.531,"a",2018-05-08,2018-07-13,2018-07-13,2018-10-19,11879.0228134347,722,7.82836363636364
"2018-WIH2",2018,"WIH2",43.326,-89.34,"a",2018-05-19,2018-07-24,2018-07-24,2018-10-19,8622.26080204866,722,7.82836363636364
"2019-DEH1",2019,"DEH1",38.671,-75.433,"c",2019-05-09,2019-07-06,2019-07-05,2019-09-12,9681.86171393898,789,10.5044776119403
"2019-GAH2",2019,"GAH2",33.721,-83.308,"c",2019-04-12,2019-06-15,2019-06-14,2019-09-05,12583.4426540653,789,7.75008
"2019-IAH4",2019,"IAH4",41.998,-93.696,"b",2019-06-03,2019-08-03,2019-08-01,2019-10-17,10217.6053074298,778,11.232
"2019-ILH1",2019,"ILH1",40.058,-88.23,"b",2019-05-21,2019-07-23,2019-07-21,2019-10-17,11239.6345984887,778,10.5794742857143
"2019-INH1",2019,"INH1",40.477,-87,"b",2019-06-05,2019-08-07,2019-08-05,2019-10-11,12229.957587656,778,11.4816
"2019-MIH1",2019,"MIH1",42.708,-84.47,"a",2019-05-27,2019-08-02,2019-07-30,2019-11-17,9337.8932776607,722,8.6112
"2019-MNH1",2019,"MNH1",44.067,-93.524,"a",2019-06-03,2019-08-08,2019-08-05,2019-11-16,7849.0427197382,722,7.82836363636364
"2019-MOH1",2019,"MOH1",38.895,-92.209,"c",2019-05-16,2019-07-18,2019-07-17,2019-10-07,6531.28562344423,789,7.5348
"2019-NEH1",2019,"NEH1",41.159,-96.415,"b",2019-05-16,2019-07-23,2019-07-21,2019-11-13,8974.61139810533,778,7.69937777777778
"2019-NEH2",2019,"NEH2",40.86,-96.616,"b",2019-05-28,2019-07-29,2019-07-28,2019-11-13,9605.09545571391,778,8.14572972972973
"2019-NYH1",2019,"NYH1",42.729,-76.652,"a",2019-06-03,2019-08-07,2019-08-06,2019-12-12,9114.68324162223,722,8.37846486486487
"2019-NYH2",2019,"NYH2",42.732,-76.652,"a",2019-05-23,2019-08-01,2019-07-31,2019-12-11,10648.3373331187,722,9.84137142857143
"2019-NYH3",2019,"NYH3",42.733,-76.654,"a",2019-05-23,2019-08-07,2019-08-06,2019-12-11,10342.0138630051,722,9.84137142857143
"2019-OHH1",2019,"OHH1",39.857,-83.67,"b",2019-06-07,2019-08-02,2019-08-01,2019-10-15,10719.9352669462,778,8.6112
"2019-SCH1",2019,"SCH1",34.623,-82.738,"c",2019-05-02,2019-06-27,2019-06-28,2019-09-05,2678.18428295668,789,7.93136842105263
"2019-WIH1",2019,"WIH1",43.057,-89.531,"a",2019-05-12,2019-07-22,2019-07-21,2019-10-26,11657.2140908269,722,7.82836363636364
"2019-WIH2",2019,"WIH2",43.319,-89.389,"a",2019-06-03,2019-08-07,2019-08-07,2019-11-21,7904.42546740858,722,7.82836363636364
